plan_id,sku_id,planned_date,planned_quantity,actual_produced_quantity,machine_id
PLAN-00002017,SKU-SEL-015,2024-04-07,38694,41132,M6
PLAN-00002018,SKU-SEL-015,2024-04-14,33101,30676,M1
PLAN-00002019,SKU-SEL-015,2024-04-21,31733,34929,M4
PLAN-00002020,SKU-SEL-015,2024-04-28,33499,30987,M1
PLAN-00002021,SKU-SEL-015,2024-05-05,32684,29866,M4
PLAN-00002022,SKU-SEL-015,2024-05-12,28399,28500,M3
PLAN-00002023,SKU-SEL-015,2024-05-19,33911,29492,M1
PLAN-00002024,SKU-SEL-015,2024-05-26,31096,28393,M5
PLAN-00002025,SKU-SEL-015,2024-06-02,35120,34868,M2
PLAN-00002026,SKU-SEL-015,2024-06-09,34849,31519,M6
PLAN-00002027,SKU-SEL-015,2024-06-16,34348,34296,M3
PLAN-00002028,SKU-SEL-015,2024-06-23,33088,31330,M5
PLAN-00002029,SKU-SEL-015,2024-06-30,33619,33423,M3
PLAN-00002030,SKU-SEL-015,2024-07-07,30938,32289,M1
PLAN-00002031,SKU-SEL-015,2024-07-14,32434,27591,M1
PLAN-00002032,SKU-SEL-015,2024-07-21,30981,30868,M1
PLAN-00002033,SKU-SEL-015,2024-07-28,32084,34476,M5
PLAN-00002034,SKU-SEL-015,2024-08-04,32598,33084,M5
PLAN-00002035,SKU-SEL-015,2024-08-11,33996,32899,M1
PLAN-00002036,SKU-SEL-015,2024-08-18,37951,38147,M5
PLAN-00002037,SKU-SEL-015,2024-08-25,33075,35093,M3
PLAN-00002038,SKU-SEL-015,2024-09-01,39639,41979,M6
PLAN-00002039,SKU-SEL-015,2024-09-08,33870,32061,M6
PLAN-00002040,SKU-SEL-015,2024-09-15,35945,34198,M4
PLAN-00002041,SKU-SEL-015,2024-09-22,32323,31864,M6
PLAN-00002042,SKU-SEL-015,2024-09-29,35445,28712,M1
PLAN-00002043,SKU-SEL-015,2024-10-06,31214,33446,M2
PLAN-00002044,SKU-SEL-015,2024-10-13,34886,36212,M5
PLAN-00002045,SKU-SEL-015,2024-10-20,31727,28476,M6
PLAN-00002046,SKU-SEL-015,2024-10-27,33051,32857,M4
PLAN-00002047,SKU-SEL-015,2024-11-03,34956,34447,M4
PLAN-00002048,SKU-SEL-015,2024-11-10,34818,34399,M1
PLAN-00002049,SKU-SEL-015,2024-11-17,31998,30959,M4
PLAN-00002050,SKU-SEL-015,2024-11-24,33008,36645,M4
PLAN-00002051,SKU-SEL-015,2024-12-01,33784,31980,M1
PLAN-00002052,SKU-SEL-015,2024-12-08,33060,34179,M3
PLAN-00002053,SKU-SEL-015,2024-12-15,31508,28557,M1
PLAN-00002054,SKU-SEL-015,2024-12-22,31818,31570,M2
PLAN-00002055,SKU-SEL-015,2024-12-29,36136,35714,M5
PLAN-00002056,SKU-SEL-015,2025-01-05,32351,30711,M2
PLAN-00002057,SKU-SEL-015,2025-01-12,33520,33913,M3
PLAN-00002058,SKU-SEL-015,2025-01-19,31774,30729,M5
PLAN-00002059,SKU-SEL-015,2025-01-26,32662,29267,M5
PLAN-00002060,SKU-SEL-015,2025-02-02,37441,34294,M6
PLAN-00002061,SKU-SEL-015,2025-02-09,36038,34317,M5
PLAN-00002062,SKU-SEL-015,2025-02-16,32277,34564,M6
PLAN-00002063,SKU-SEL-015,2025-02-23,35334,37574,M5
PLAN-00002064,SKU-SEL-015,2025-03-02,44853,37269,M6
PLAN-00002065,SKU-SEL-015,2025-03-09,48219,48121,M6
PLAN-00002066,SKU-SEL-015,2025-03-16,45901,46131,M2
PLAN-00002067,SKU-SEL-015,2025-03-23,43271,43470,M6
PLAN-00002068,SKU-SEL-015,2025-03-30,34191,40408,M1
PLAN-00002069,SKU-SEL-015,2025-04-06,33315,34863,M6
PLAN-00002070,SKU-SEL-015,2025-04-13,35621,30558,M2
PLAN-00002071,SKU-SEL-015,2025-04-20,32171,32793,M5
PLAN-00002072,SKU-SEL-015,2025-04-27,35011,27988,M4
PLAN-00002073,SKU-SEL-015,2025-05-04,36858,36485,M4
PLAN-00002074,SKU-SEL-015,2025-05-11,36145,36200,M5
PLAN-00002075,SKU-SEL-015,2025-05-18,34397,31952,M4
PLAN-00002076,SKU-SEL-015,2025-05-25,31593,32040,M3
PLAN-00002077,SKU-SEL-015,2025-06-01,35830,34485,M2
PLAN-00002078,SKU-SEL-015,2025-06-08,34280,36081,M3
PLAN-00002079,SKU-SEL-015,2025-06-15,35825,33366,M6
PLAN-00002080,SKU-SEL-015,2025-06-22,36146,36301,M3
PLAN-00002081,SKU-BRA-016,2023-01-01,25295,27524,M4
PLAN-00002082,SKU-BRA-016,2023-01-08,23712,19984,M1
PLAN-00002083,SKU-BRA-016,2023-01-15,23282,20125,M2
PLAN-00002084,SKU-BRA-016,2023-01-22,25091,27466,M2
PLAN-00002085,SKU-BRA-016,2023-01-29,24822,26034,M1
PLAN-00002086,SKU-BRA-016,2023-02-05,24738,25471,M6
PLAN-00002087,SKU-BRA-016,2023-02-12,25313,26311,M1
PLAN-00002088,SKU-BRA-016,2023-02-19,25552,28152,M5
PLAN-00002089,SKU-BRA-016,2023-02-26,24544,21761,M2
PLAN-00002090,SKU-BRA-016,2023-03-05,26302,25878,M5
PLAN-00002091,SKU-BRA-016,2023-03-12,22180,25401,M4
PLAN-00002092,SKU-BRA-016,2023-03-19,27866,31017,M4
PLAN-00002093,SKU-BRA-016,2023-03-26,31593,31522,M1
PLAN-00002094,SKU-BRA-016,2023-04-02,30869,31358,M1
PLAN-00002095,SKU-BRA-016,2023-04-09,33438,34057,M4
PLAN-00002096,SKU-BRA-016,2023-04-16,30402,26362,M6
PLAN-00002097,SKU-BRA-016,2023-04-23,23591,22625,M2
PLAN-00002098,SKU-BRA-016,2023-04-30,25866,27081,M3
PLAN-00002099,SKU-BRA-016,2023-05-07,25866,27625,M2
PLAN-00002100,SKU-BRA-016,2023-05-14,25329,25531,M6
PLAN-00002101,SKU-BRA-016,2023-05-21,24566,24956,M1
PLAN-00002102,SKU-BRA-016,2023-05-28,25018,26897,M4
PLAN-00002103,SKU-BRA-016,2023-06-04,22272,21967,M3
PLAN-00002104,SKU-BRA-016,2023-06-11,23084,22136,M1
PLAN-00002105,SKU-BRA-016,2023-06-18,24615,25978,M3
PLAN-00002106,SKU-BRA-016,2023-06-25,26615,25555,M6
PLAN-00002107,SKU-BRA-016,2023-07-02,25864,29264,M4
PLAN-00002108,SKU-BRA-016,2023-07-09,27133,29686,M3
PLAN-00002109,SKU-BRA-016,2023-07-16,24098,22796,M6
PLAN-00002110,SKU-BRA-016,2023-07-23,23708,23131,M2
PLAN-00002111,SKU-BRA-016,2023-07-30,25999,23294,M3
PLAN-00002112,SKU-BRA-016,2023-08-06,24151,25322,M4
PLAN-00002113,SKU-BRA-016,2023-08-13,25928,24021,M5
PLAN-00002114,SKU-BRA-016,2023-08-20,26860,26834,M2
PLAN-00002115,SKU-BRA-016,2023-08-27,24208,24584,M5
PLAN-00002116,SKU-BRA-016,2023-09-03,26401,27283,M1
PLAN-00002117,SKU-BRA-016,2023-09-10,25147,25396,M4
PLAN-00002118,SKU-BRA-016,2023-09-17,24158,25258,M6
PLAN-00002119,SKU-BRA-016,2023-09-24,25615,24609,M4
PLAN-00002120,SKU-BRA-016,2023-10-01,25327,26413,M6
PLAN-00002121,SKU-BRA-016,2023-10-08,23941,24114,M2
PLAN-00002122,SKU-BRA-016,2023-10-15,25581,27501,M5
PLAN-00002123,SKU-BRA-016,2023-10-22,25927,27079,M6
PLAN-00002124,SKU-BRA-016,2023-10-29,22512,20331,M5
PLAN-00002125,SKU-BRA-016,2023-11-05,24737,29357,M2
PLAN-00002126,SKU-BRA-016,2023-11-12,25475,26605,M2
PLAN-00002127,SKU-BRA-016,2023-11-19,23869,22635,M1
PLAN-00002128,SKU-BRA-016,2023-11-26,26228,27085,M3
PLAN-00002129,SKU-BRA-016,2023-12-03,24405,24537,M5
PLAN-00002130,SKU-BRA-016,2023-12-10,25317,24308,M3
PLAN-00002131,SKU-BRA-016,2023-12-17,24268,23158,M6
PLAN-00002132,SKU-BRA-016,2023-12-24,25608,25883,M6
PLAN-00002133,SKU-BRA-016,2023-12-31,24803,25584,M4
PLAN-00002134,SKU-BRA-016,2024-01-07,25694,26159,M5
PLAN-00002135,SKU-BRA-016,2024-01-14,25571,23651,M3
PLAN-00002136,SKU-BRA-016,2024-01-21,25629,23560,M4
PLAN-00002137,SKU-BRA-016,2024-01-28,24353,24043,M3
PLAN-00002138,SKU-BRA-016,2024-02-04,26068,24997,M3
PLAN-00002139,SKU-BRA-016,2024-02-11,24554,24757,M1
PLAN-00002140,SKU-BRA-016,2024-02-18,24395,26261,M3
PLAN-00002141,SKU-BRA-016,2024-02-25,24237,21170,M2
PLAN-00002142,SKU-BRA-016,2024-03-03,24550,27104,M3
PLAN-00002143,SKU-BRA-016,2024-03-10,29957,32674,M2
PLAN-00002144,SKU-BRA-016,2024-03-17,31903,33471,M2
PLAN-00002145,SKU-BRA-016,2024-03-24,32340,31841,M1
PLAN-00002146,SKU-BRA-016,2024-03-31,35053,39188,M4
PLAN-00002147,SKU-BRA-016,2024-04-07,31432,31081,M5
PLAN-00002148,SKU-BRA-016,2024-04-14,23901,27208,M1
PLAN-00002149,SKU-BRA-016,2024-04-21,24486,22695,M1
PLAN-00002150,SKU-BRA-016,2024-04-28,25495,26029,M4
PLAN-00002151,SKU-BRA-016,2024-05-05,25035,25498,M5
PLAN-00002152,SKU-BRA-016,2024-05-12,27730,32089,M6
PLAN-00002153,SKU-BRA-016,2024-05-19,25188,24889,M2
PLAN-00002154,SKU-BRA-016,2024-05-26,24719,23183,M1
PLAN-00002155,SKU-BRA-016,2024-06-02,27777,29273,M5
PLAN-00002156,SKU-BRA-016,2024-06-09,28405,29381,M4
PLAN-00002157,SKU-BRA-016,2024-06-16,26957,29246,M2
PLAN-00002158,SKU-BRA-016,2024-06-23,26558,26718,M1
PLAN-00002159,SKU-BRA-016,2024-06-30,26384,26273,M2
PLAN-00002160,SKU-BRA-016,2024-07-07,24646,20141,M2
PLAN-00002161,SKU-BRA-016,2024-07-14,25240,24075,M3
PLAN-00002162,SKU-BRA-016,2024-07-21,26668,26865,M6
PLAN-00002163,SKU-BRA-016,2024-07-28,26338,28314,M5
PLAN-00002164,SKU-BRA-016,2024-08-04,23855,26487,M5
PLAN-00002165,SKU-BRA-016,2024-08-11,26205,28619,M3
PLAN-00002166,SKU-BRA-016,2024-08-18,26958,25887,M6
PLAN-00002167,SKU-BRA-016,2024-08-25,26552,30712,M2
PLAN-00002168,SKU-BRA-016,2024-09-01,25410,26328,M5
PLAN-00002169,SKU-BRA-016,2024-09-08,26143,27630,M4
PLAN-00002170,SKU-BRA-016,2024-09-15,25641,23524,M4
PLAN-00002171,SKU-BRA-016,2024-09-22,22485,19939,M2
PLAN-00002172,SKU-BRA-016,2024-09-29,24931,26381,M6
PLAN-00002173,SKU-BRA-016,2024-10-06,25414,25653,M6
PLAN-00002174,SKU-BRA-016,2024-10-13,27259,25917,M3
PLAN-00002175,SKU-BRA-016,2024-10-20,25556,26719,M3
PLAN-00002176,SKU-BRA-016,2024-10-27,25736,22377,M1
PLAN-00002177,SKU-BRA-016,2024-11-03,24791,24170,M5
PLAN-00002178,SKU-BRA-016,2024-11-10,27464,28843,M4
PLAN-00002179,SKU-BRA-016,2024-11-17,26761,26729,M3
PLAN-00002180,SKU-BRA-016,2024-11-24,24086,26766,M5
PLAN-00002181,SKU-BRA-016,2024-12-01,25885,24099,M5
PLAN-00002182,SKU-BRA-016,2024-12-08,25334,24126,M4
PLAN-00002183,SKU-BRA-016,2024-12-15,24308,23422,M5
PLAN-00002184,SKU-BRA-016,2024-12-22,26127,29433,M4
PLAN-00002185,SKU-BRA-016,2024-12-29,26368,26915,M6
PLAN-00002186,SKU-BRA-016,2025-01-05,25343,23013,M3
PLAN-00002187,SKU-BRA-016,2025-01-12,27350,23608,M3
PLAN-00002188,SKU-BRA-016,2025-01-19,25052,30346,M6
PLAN-00002189,SKU-BRA-016,2025-01-26,23850,22510,M5
PLAN-00002190,SKU-BRA-016,2025-02-02,27949,24759,M6
PLAN-00002191,SKU-BRA-016,2025-02-09,24608,24666,M5
PLAN-00002192,SKU-BRA-016,2025-02-16,25786,26161,M1
PLAN-00002193,SKU-BRA-016,2025-02-23,27566,24951,M2
PLAN-00002194,SKU-BRA-016,2025-03-02,34102,37615,M6
PLAN-00002195,SKU-BRA-016,2025-03-09,37568,38976,M5
PLAN-00002196,SKU-BRA-016,2025-03-16,34642,35183,M3
PLAN-00002197,SKU-BRA-016,2025-03-23,32854,33444,M1
PLAN-00002198,SKU-BRA-016,2025-03-30,29675,25813,M4
PLAN-00002199,SKU-BRA-016,2025-04-06,26722,28360,M3
PLAN-00002200,SKU-BRA-016,2025-04-13,26997,25656,M5
PLAN-00002201,SKU-BRA-016,2025-04-20,26096,27256,M3
PLAN-00002202,SKU-BRA-016,2025-04-27,28115,29922,M2
PLAN-00002203,SKU-BRA-016,2025-05-04,25524,23703,M6
PLAN-00002204,SKU-BRA-016,2025-05-11,24849,27991,M3
PLAN-00002205,SKU-BRA-016,2025-05-18,22572,25399,M5
PLAN-00002206,SKU-BRA-016,2025-05-25,29415,31664,M2
PLAN-00002207,SKU-BRA-016,2025-06-01,29245,31350,M3
PLAN-00002208,SKU-BRA-016,2025-06-08,27543,25965,M2
PLAN-00002209,SKU-BRA-016,2025-06-15,28018,27970,M3
PLAN-00002210,SKU-BRA-016,2025-06-22,23559,26582,M2
PLAN-00002211,SKU-PAS-017,2023-01-01,35049,36424,M2
PLAN-00002212,SKU-PAS-017,2023-01-08,34362,31300,M3
PLAN-00002213,SKU-PAS-017,2023-01-15,33678,39293,M3
PLAN-00002214,SKU-PAS-017,2023-01-22,35927,35780,M3
PLAN-00002215,SKU-PAS-017,2023-01-29,33355,30768,M4
PLAN-00002216,SKU-PAS-017,2023-02-05,32151,31978,M6
PLAN-00002217,SKU-PAS-017,2023-02-12,35615,33579,M1
PLAN-00002218,SKU-PAS-017,2023-02-19,32698,32573,M5
PLAN-00002219,SKU-PAS-017,2023-02-26,36505,38820,M3
PLAN-00002220,SKU-PAS-017,2023-03-05,34252,39218,M5
PLAN-00002221,SKU-PAS-017,2023-03-12,33925,34240,M6
PLAN-00002222,SKU-PAS-017,2023-03-19,38963,34717,M6
PLAN-00002223,SKU-PAS-017,2023-03-26,43180,43383,M5
PLAN-00002224,SKU-PAS-017,2023-04-02,45824,41805,M5
PLAN-00002225,SKU-PAS-017,2023-04-09,43287,49883,M4
PLAN-00002226,SKU-PAS-017,2023-04-16,45213,47246,M1
PLAN-00002227,SKU-PAS-017,2023-04-23,34522,33669,M3
PLAN-00002228,SKU-PAS-017,2023-04-30,34194,35415,M4
PLAN-00002229,SKU-PAS-017,2023-05-07,35984,33463,M2
PLAN-00002230,SKU-PAS-017,2023-05-14,32563,38279,M5
PLAN-00002231,SKU-PAS-017,2023-05-21,34472,37309,M3
PLAN-00002232,SKU-PAS-017,2023-05-28,35529,38533,M4
PLAN-00002233,SKU-PAS-017,2023-06-04,32139,29396,M6
PLAN-00002234,SKU-PAS-017,2023-06-11,35025,31679,M1
PLAN-00002235,SKU-PAS-017,2023-06-18,36034,37701,M5
PLAN-00002236,SKU-PAS-017,2023-06-25,37029,38567,M5
PLAN-00002237,SKU-PAS-017,2023-07-02,37180,38125,M3
PLAN-00002238,SKU-PAS-017,2023-07-09,31949,33655,M2
PLAN-00002239,SKU-PAS-017,2023-07-16,36453,34986,M6
PLAN-00002240,SKU-PAS-017,2023-07-23,32262,33458,M3
PLAN-00002241,SKU-PAS-017,2023-07-30,35491,40786,M5
PLAN-00002242,SKU-PAS-017,2023-08-06,36234,31321,M3
PLAN-00002243,SKU-PAS-017,2023-08-13,36548,36457,M3
PLAN-00002244,SKU-PAS-017,2023-08-20,36792,38568,M5
PLAN-00002245,SKU-PAS-017,2023-08-27,37881,43582,M5
PLAN-00002246,SKU-PAS-017,2023-09-03,38368,37560,M5
PLAN-00002247,SKU-PAS-017,2023-09-10,34627,32666,M2
PLAN-00002248,SKU-PAS-017,2023-09-17,27852,28249,M5
PLAN-00002249,SKU-PAS-017,2023-09-24,32911,34509,M2
PLAN-00002250,SKU-PAS-017,2023-10-01,37263,32157,M4
PLAN-00002251,SKU-PAS-017,2023-10-08,37875,39968,M5
PLAN-00002252,SKU-PAS-017,2023-10-15,35371,30311,M3
PLAN-00002253,SKU-PAS-017,2023-10-22,34495,32490,M4
PLAN-00002254,SKU-PAS-017,2023-10-29,33339,37946,M2
PLAN-00002255,SKU-PAS-017,2023-11-05,30353,30702,M6
PLAN-00002256,SKU-PAS-017,2023-11-12,34681,38819,M3
PLAN-00002257,SKU-PAS-017,2023-11-19,36437,37922,M5
PLAN-00002258,SKU-PAS-017,2023-11-26,34795,37604,M6
PLAN-00002259,SKU-PAS-017,2023-12-03,30259,31215,M4
PLAN-00002260,SKU-PAS-017,2023-12-10,39107,40147,M5
PLAN-00002261,SKU-PAS-017,2023-12-17,34089,37408,M5
PLAN-00002262,SKU-PAS-017,2023-12-24,33055,33423,M4
PLAN-00002263,SKU-PAS-017,2023-12-31,33226,36057,M4
PLAN-00002264,SKU-PAS-017,2024-01-07,33566,32652,M6
PLAN-00002265,SKU-PAS-017,2024-01-14,32313,29268,M5
PLAN-00002266,SKU-PAS-017,2024-01-21,35004,35261,M3
PLAN-00002267,SKU-PAS-017,2024-01-28,34417,30411,M6
PLAN-00002268,SKU-PAS-017,2024-02-04,37754,38002,M4
PLAN-00002269,SKU-PAS-017,2024-02-11,32688,35460,M4
PLAN-00002270,SKU-PAS-017,2024-02-18,33649,38097,M1
PLAN-00002271,SKU-PAS-017,2024-02-25,36575,37591,M5
PLAN-00002272,SKU-PAS-017,2024-03-03,36694,36934,M1
PLAN-00002273,SKU-PAS-017,2024-03-10,44906,52623,M6
PLAN-00002274,SKU-PAS-017,2024-03-17,46366,50206,M5
PLAN-00002275,SKU-PAS-017,2024-03-24,46850,49866,M3
PLAN-00002276,SKU-PAS-017,2024-03-31,43921,38286,M1
PLAN-00002277,SKU-PAS-017,2024-04-07,39470,38338,M1
PLAN-00002278,SKU-PAS-017,2024-04-14,33899,33864,M6
PLAN-00002279,SKU-PAS-017,2024-04-21,31421,31785,M4
PLAN-00002280,SKU-PAS-017,2024-04-28,37378,42095,M4
PLAN-00002281,SKU-PAS-017,2024-05-05,36167,32212,M1
PLAN-00002282,SKU-PAS-017,2024-05-12,37337,36008,M6
PLAN-00002283,SKU-PAS-017,2024-05-19,36175,35276,M4
PLAN-00002284,SKU-PAS-017,2024-05-26,35120,35616,M4
PLAN-00002285,SKU-PAS-017,2024-06-02,35532,35954,M2
PLAN-00002286,SKU-PAS-017,2024-06-09,37891,42454,M4
PLAN-00002287,SKU-PAS-017,2024-06-16,41154,40733,M2
PLAN-00002288,SKU-PAS-017,2024-06-23,37988,39105,M6
PLAN-00002289,SKU-PAS-017,2024-06-30,36188,32280,M1
PLAN-00002290,SKU-PAS-017,2024-07-07,35397,31306,M1
PLAN-00002291,SKU-PAS-017,2024-07-14,32405,32183,M1
PLAN-00002292,SKU-PAS-017,2024-07-21,35904,35133,M2
PLAN-00002293,SKU-PAS-017,2024-07-28,36577,38421,M4
PLAN-00002294,SKU-PAS-017,2024-08-04,33873,37079,M2
PLAN-00002295,SKU-PAS-017,2024-08-11,35391,36047,M1
PLAN-00002296,SKU-PAS-017,2024-08-18,40955,44665,M4
PLAN-00002297,SKU-PAS-017,2024-08-25,34779,33598,M2
PLAN-00002298,SKU-PAS-017,2024-09-01,41615,34938,M2
PLAN-00002299,SKU-PAS-017,2024-09-08,35399,32564,M3
PLAN-00002300,SKU-PAS-017,2024-09-15,39097,40392,M4
PLAN-00002301,SKU-PAS-017,2024-09-22,35861,33981,M1
PLAN-00002302,SKU-PAS-017,2024-09-29,34468,35679,M1
PLAN-00002303,SKU-PAS-017,2024-10-06,34032,30769,M3
PLAN-00002304,SKU-PAS-017,2024-10-13,33456,30375,M1
PLAN-00002305,SKU-PAS-017,2024-10-20,36464,31206,M4
PLAN-00002306,SKU-PAS-017,2024-10-27,33103,36196,M3
PLAN-00002307,SKU-PAS-017,2024-11-03,34815,37025,M2
PLAN-00002308,SKU-PAS-017,2024-11-10,37478,33205,M1
PLAN-00002309,SKU-PAS-017,2024-11-17,34044,37322,M1
PLAN-00002310,SKU-PAS-017,2024-11-24,38059,38223,M1
PLAN-00002311,SKU-PAS-017,2024-12-01,30805,31766,M1
PLAN-00002312,SKU-PAS-017,2024-12-08,38073,35317,M6
PLAN-00002313,SKU-PAS-017,2024-12-15,32242,28560,M5
PLAN-00002314,SKU-PAS-017,2024-12-22,34604,35995,M3
PLAN-00002315,SKU-PAS-017,2024-12-29,38543,36942,M2
PLAN-00002316,SKU-PAS-017,2025-01-05,32951,32937,M4
PLAN-00002317,SKU-PAS-017,2025-01-12,40292,36320,M4
PLAN-00002318,SKU-PAS-017,2025-01-19,35671,31952,M1
PLAN-00002319,SKU-PAS-017,2025-01-26,33610,31700,M4
PLAN-00002320,SKU-PAS-017,2025-02-02,32775,32959,M2
PLAN-00002321,SKU-PAS-017,2025-02-09,32500,27201,M1
PLAN-00002322,SKU-PAS-017,2025-02-16,37664,36503,M2
PLAN-00002323,SKU-PAS-017,2025-02-23,37183,29491,M1
PLAN-00002324,SKU-PAS-017,2025-03-02,48012,47295,M5
PLAN-00002325,SKU-PAS-017,2025-03-09,48513,46515,M5
PLAN-00002326,SKU-PAS-017,2025-03-16,44132,47156,M6
PLAN-00002327,SKU-PAS-017,2025-03-23,48313,52618,M3
PLAN-00002328,SKU-PAS-017,2025-03-30,38045,42806,M2
PLAN-00002329,SKU-PAS-017,2025-04-06,35632,34096,M4
PLAN-00002330,SKU-PAS-017,2025-04-13,36678,32778,M6
PLAN-00002331,SKU-PAS-017,2025-04-20,36413,40372,M3
PLAN-00002332,SKU-PAS-017,2025-04-27,35104,30889,M3
PLAN-00002333,SKU-PAS-017,2025-05-04,32412,33587,M4
PLAN-00002334,SKU-PAS-017,2025-05-11,37441,36102,M6
PLAN-00002335,SKU-PAS-017,2025-05-18,36330,39370,M4
PLAN-00002336,SKU-PAS-017,2025-05-25,41448,37805,M1
PLAN-00002337,SKU-PAS-017,2025-06-01,39705,38416,M5
PLAN-00002338,SKU-PAS-017,2025-06-08,42055,41087,M4
PLAN-00002339,SKU-PAS-017,2025-06-15,39961,34755,M3
PLAN-00002340,SKU-PAS-017,2025-06-22,40723,36532,M3
PLAN-00002341,SKU-FLO-018,2023-01-01,30086,35267,M2
PLAN-00002342,SKU-FLO-018,2023-01-08,27195,25449,M6
PLAN-00002343,SKU-FLO-018,2023-01-15,26984,25786,M4
PLAN-00002344,SKU-FLO-018,2023-01-22,28751,29372,M1
PLAN-00002345,SKU-FLO-018,2023-01-29,28745,27483,M6
PLAN-00002346,SKU-FLO-018,2023-02-05,29118,29883,M5
PLAN-00002347,SKU-FLO-018,2023-02-12,25663,28737,M3
PLAN-00002348,SKU-FLO-018,2023-02-19,30546,27295,M5
PLAN-00002349,SKU-FLO-018,2023-02-26,33111,36288,M1
PLAN-00002350,SKU-FLO-018,2023-03-05,27176,24960,M4
PLAN-00002351,SKU-FLO-018,2023-03-12,28357,30488,M6
PLAN-00002352,SKU-FLO-018,2023-03-19,33174,36938,M5
PLAN-00002353,SKU-FLO-018,2023-03-26,33849,30258,M4
PLAN-00002354,SKU-FLO-018,2023-04-02,39209,39995,M3
PLAN-00002355,SKU-FLO-018,2023-04-09,35427,33020,M6
PLAN-00002356,SKU-FLO-018,2023-04-16,39150,36020,M2
PLAN-00002357,SKU-FLO-018,2023-04-23,31272,29518,M1
PLAN-00002358,SKU-FLO-018,2023-04-30,30035,28402,M2
PLAN-00002359,SKU-FLO-018,2023-05-07,30474,28843,M3
PLAN-00002360,SKU-FLO-018,2023-05-14,27808,29201,M5
PLAN-00002361,SKU-FLO-018,2023-05-21,30541,29982,M3
PLAN-00002362,SKU-FLO-018,2023-05-28,30059,31729,M1
PLAN-00002363,SKU-FLO-018,2023-06-04,29697,34745,M5
PLAN-00002364,SKU-FLO-018,2023-06-11,28234,31089,M1
PLAN-00002365,SKU-FLO-018,2023-06-18,30618,30621,M1
PLAN-00002366,SKU-FLO-018,2023-06-25,32420,36737,M6
PLAN-00002367,SKU-FLO-018,2023-07-02,32202,26669,M5
PLAN-00002368,SKU-FLO-018,2023-07-09,29334,28911,M4
PLAN-00002369,SKU-FLO-018,2023-07-16,32187,35628,M6
PLAN-00002370,SKU-FLO-018,2023-07-23,27101,26489,M5
PLAN-00002371,SKU-FLO-018,2023-07-30,29777,27338,M4
PLAN-00002372,SKU-FLO-018,2023-08-06,30497,30076,M5
PLAN-00002373,SKU-FLO-018,2023-08-13,31728,29122,M6
PLAN-00002374,SKU-FLO-018,2023-08-20,33256,35962,M5
PLAN-00002375,SKU-FLO-018,2023-08-27,35673,31906,M6
PLAN-00002376,SKU-FLO-018,2023-09-03,30380,30561,M6
PLAN-00002377,SKU-FLO-018,2023-09-10,34657,31884,M2
PLAN-00002378,SKU-FLO-018,2023-09-17,28257,28415,M2
PLAN-00002379,SKU-FLO-018,2023-09-24,29411,31214,M6
PLAN-00002380,SKU-FLO-018,2023-10-01,31211,36547,M2
PLAN-00002381,SKU-FLO-018,2023-10-08,31485,28850,M4
PLAN-00002382,SKU-FLO-018,2023-10-15,30251,31671,M1
PLAN-00002383,SKU-FLO-018,2023-10-22,30672,33524,M6
PLAN-00002384,SKU-FLO-018,2023-10-29,27818,26344,M4
PLAN-00002385,SKU-FLO-018,2023-11-05,31622,35113,M1
PLAN-00002386,SKU-FLO-018,2023-11-12,27088,24129,M4
PLAN-00002387,SKU-FLO-018,2023-11-19,27497,28802,M4
PLAN-00002388,SKU-FLO-018,2023-11-26,28502,29789,M3
PLAN-00002389,SKU-FLO-018,2023-12-03,30812,34584,M4
PLAN-00002390,SKU-FLO-018,2023-12-10,29680,28602,M3
PLAN-00002391,SKU-FLO-018,2023-12-17,29382,26920,M3
PLAN-00002392,SKU-FLO-018,2023-12-24,28844,29997,M1
PLAN-00002393,SKU-FLO-018,2023-12-31,31683,31759,M2
PLAN-00002394,SKU-FLO-018,2024-01-07,32224,31477,M3
PLAN-00002395,SKU-FLO-018,2024-01-14,30026,34764,M5
PLAN-00002396,SKU-FLO-018,2024-01-21,28749,24933,M2
PLAN-00002397,SKU-FLO-018,2024-01-28,31913,32463,M6
PLAN-00002398,SKU-FLO-018,2024-02-04,29983,31157,M6
PLAN-00002399,SKU-FLO-018,2024-02-11,29761,32119,M2
PLAN-00002400,SKU-FLO-018,2024-02-18,26193,26940,M6
PLAN-00002401,SKU-FLO-018,2024-02-25,29821,29651,M5
PLAN-00002402,SKU-FLO-018,2024-03-03,33259,32739,M2
PLAN-00002403,SKU-FLO-018,2024-03-10,35226,35958,M6
PLAN-00002404,SKU-FLO-018,2024-03-17,38476,37728,M4
PLAN-00002405,SKU-FLO-018,2024-03-24,40368,40690,M2
PLAN-00002406,SKU-FLO-018,2024-03-31,40592,35508,M1
PLAN-00002407,SKU-FLO-018,2024-04-07,30316,31675,M1
PLAN-00002408,SKU-FLO-018,2024-04-14,31654,30134,M4
PLAN-00002409,SKU-FLO-018,2024-04-21,28818,32910,M4
PLAN-00002410,SKU-FLO-018,2024-04-28,31676,32934,M5
PLAN-00002411,SKU-FLO-018,2024-05-05,32327,32234,M1
PLAN-00002412,SKU-FLO-018,2024-05-12,30079,29922,M5
PLAN-00002413,SKU-FLO-018,2024-05-19,30808,28693,M2
PLAN-00002414,SKU-FLO-018,2024-05-26,30789,26935,M2
